created_at,pH,Relative_Humidity,Temperature,EC,N,P,K,temp,humidity
2022-12-26 14:00:00+05:30,2.120,74.392,16.680,111.784,108.784,7.000,10.196,10.400,39.200
2022-12-26 15:00:00+05:30,2.200,76.000,16.600,115.646,112.161,7.161,11.000,13.700,31.310
2022-12-26 16:00:00+05:30,2.216,76.000,16.600,119.643,113.322,8.000,11.000,10.100,94.140
2022-12-26 17:00:00+05:30,2.281,76.000,16.619,123.000,115.000,8.000,11.000,18.300,25.700
2022-12-26 18:00:00+05:30,2.200,76.000,16.700,123.000,114.453,8.000,11.000,19.700,24.610
2022-12-26 19:00:00+05:30,2.200,75.801,16.697,123.000,111.602,7.801,10.968,16.700,60.000
2022-12-26 20:00:00+05:30,2.183,74.831,16.678,122.326,109.663,7.000,10.831,21.000,24.780
2022-12-26 21:00:00+05:30,2.100,74.000,16.600,119.000,108.000,7.000,10.000,20.700,25.980
2022-12-26 22:00:00+05:30,2.100,74.000,16.600,119.000,108.000,7.000,10.000,13.200,78.660
2022-12-26 23:00:00+05:30,2.081,74.000,16.600,117.443,106.832,7.000,10.000,15.100,38.600
2022-12-27 00:00:00+05:30,2.000,74.000,16.582,112.000,102.000,7.000,10.000,13.500,40.410
2022-12-27 01:00:00+05:30,2.000,74.132,16.491,111.000,101.868,7.000,10.000,12.600,41.030
2022-12-27 02:00:00+05:30,2.000,75.043,16.422,111.000,100.852,7.000,10.000,11.900,40.530
2022-12-27 03:00:00+05:30,2.000,75.000,16.497,110.034,100.026,7.000,9.819,11.400,40.080
2022-12-27 04:00:00+05:30,2.000,75.000,16.487,107.000,100.000,7.000,9.127,10.700,39.880
2022-12-27 05:00:00+05:30,1.986,75.000,16.412,107.000,99.883,7.000,9.863,10.000,39.370
2022-12-27 06:00:00+05:30,1.900,74.656,16.500,107.000,98.850,7.000,9.000,9.500,38.930
2022-12-27 07:00:00+05:30,1.900,73.040,16.500,107.000,98.000,7.000,9.000,9.100,38.230
2022-12-27 08:00:00+05:30,1.900,73.000,16.487,107.000,97.851,6.984,9.000,8.700,38.400
2022-12-27 09:00:00+05:30,1.900,73.000,16.400,107.000,97.000,6.984,9.000,8.500,38.630
2022-12-27 10:00:00+05:30,1.900,73.000,16.400,107.000,97.000,6.984,9.000,8.200,38.570
2022-12-27 11:00:00+05:30,1.900,73.000,16.419,106.337,97.171,6.984,9.000,7.900,38.160
2022-12-27 12:00:00+05:30,1.915,73.000,16.515,103.580,98.435,6.984,9.145,7.600,37.500
2022-12-27 13:00:00+05:30,2.000,73.244,16.576,107.487,101.365,6.984,10.000,7.200,99.480
2022-12-27 14:00:00+05:30,2.004,75.000,16.404,111.168,104.168,6.984,10.000,9.000,34.360
2022-12-27 15:00:00+05:30,2.004,75.000,16.404,111.168,104.168,7.000,10.000,12.700,27.490
2022-12-27 16:00:00+05:30,2.149,75.492,16.500,116.969,109.477,7.000,10.492,11.200,80.120
2022-12-27 17:00:00+05:30,2.200,76.000,16.485,119.000,110.845,7.000,11.000,17.400,25.070
